prediction_point,POFD,POD,mode,quantity,unit,lead_days
0.95,0.6853932584269663,0.6338028169014085,strict3x3,pn,CPP,0
0.96,0.550561797752809,0.5492957746478874,strict3x3,pn,CPP,0
0.97,0.3595505617977528,0.4507042253521127,strict3x3,pn,CPP,0
0.98,0.15730337078651685,0.28169014084507044,strict3x3,pn,CPP,0
0.99,0.0449438202247191,0.08450704225352113,strict3x3,pn,CPP,0
1.0,0.0,0.0,strict3x3,pn,CPP,0
0.0,1.0,1.0,strict3x3,pn,CPP,1
0.01,1.0,1.0,strict3x3,pn,CPP,1
0.02,1.0,1.0,strict3x3,pn,CPP,1
0.03,1.0,1.0,strict3x3,pn,CPP,1
0.04,1.0,1.0,strict3x3,pn,CPP,1
0.05,1.0,1.0,strict3x3,pn,CPP,1
0.06,1.0,1.0,strict3x3,pn,CPP,1
0.07,1.0,1.0,strict3x3,pn,CPP,1
0.08,1.0,1.0,strict3x3,pn,CPP,1
0.09,1.0,1.0,strict3x3,pn,CPP,1
0.1,0.9883720930232558,1.0,strict3x3,pn,CPP,1
0.11,0.9883720930232558,1.0,strict3x3,pn,CPP,1
0.12,0.9883720930232558,1.0,strict3x3,pn,CPP,1
0.13,0.9883720930232558,1.0,strict3x3,pn,CPP,1
0.14,0.9883720930232558,1.0,strict3x3,pn,CPP,1
0.15,0.9883720930232558,1.0,strict3x3,pn,CPP,1
0.16,0.9883720930232558,1.0,strict3x3,pn,CPP,1
0.17,0.9883720930232558,1.0,strict3x3,pn,CPP,1
0.18,0.9883720930232558,1.0,strict3x3,pn,CPP,1
0.19,0.9883720930232558,1.0,strict3x3,pn,CPP,1
0.2,0.9883720930232558,1.0,strict3x3,pn,CPP,1
0.21,0.9883720930232558,0.9848484848484849,strict3x3,pn,CPP,1
0.22,0.9883720930232558,0.9848484848484849,strict3x3,pn,CPP,1
0.23,0.9883720930232558,0.9848484848484849,strict3x3,pn,CPP,1
0.24,0.9883720930232558,0.9848484848484849,strict3x3,pn,CPP,1
0.25,0.9883720930232558,0.9848484848484849,strict3x3,pn,CPP,1
0.26,0.9883720930232558,0.9696969696969697,strict3x3,pn,CPP,1
0.27,0.9883720930232558,0.9696969696969697,strict3x3,pn,CPP,1
0.28,0.9883720930232558,0.9696969696969697,strict3x3,pn,CPP,1
0.29,0.9883720930232558,0.9696969696969697,strict3x3,pn,CPP,1
0.3,0.9883720930232558,0.9696969696969697,strict3x3,pn,CPP,1
0.31,0.9883720930232558,0.9696969696969697,strict3x3,pn,CPP,1
0.32,0.9883720930232558,0.9696969696969697,strict3x3,pn,CPP,1
0.33,0.9883720930232558,0.9696969696969697,strict3x3,pn,CPP,1
0.34,0.9883720930232558,0.9696969696969697,strict3x3,pn,CPP,1
0.35,0.9883720930232558,0.9696969696969697,strict3x3,pn,CPP,1
0.36,0.9883720930232558,0.9696969696969697,strict3x3,pn,CPP,1
0.37,0.9883720930232558,0.9696969696969697,strict3x3,pn,CPP,1
0.38,0.9883720930232558,0.9696969696969697,strict3x3,pn,CPP,1
0.39,0.9883720930232558,0.9696969696969697,strict3x3,pn,CPP,1
0.4,0.9883720930232558,0.9545454545454546,strict3x3,pn,CPP,1
0.41,0.9883720930232558,0.9545454545454546,strict3x3,pn,CPP,1
0.42,0.9883720930232558,0.9545454545454546,strict3x3,pn,CPP,1
0.43,0.9883720930232558,0.9393939393939394,strict3x3,pn,CPP,1
0.44,0.9883720930232558,0.9393939393939394,strict3x3,pn,CPP,1
0.45,0.9883720930232558,0.9393939393939394,strict3x3,pn,CPP,1
0.46,0.9883720930232558,0.9393939393939394,strict3x3,pn,CPP,1
0.47,0.9883720930232558,0.9393939393939394,strict3x3,pn,CPP,1
0.48,0.9767441860465116,0.9393939393939394,strict3x3,pn,CPP,1
0.49,0.9651162790697675,0.9393939393939394,strict3x3,pn,CPP,1
0.5,0.9534883720930233,0.8939393939393939,strict3x3,pn,CPP,1
0.51,0.9418604651162791,0.8939393939393939,strict3x3,pn,CPP,1
0.52,0.9418604651162791,0.8939393939393939,strict3x3,pn,CPP,1
0.53,0.9418604651162791,0.8939393939393939,strict3x3,pn,CPP,1
0.54,0.9302325581395349,0.8939393939393939,strict3x3,pn,CPP,1
0.55,0.9302325581395349,0.8939393939393939,strict3x3,pn,CPP,1
0.56,0.9302325581395349,0.8939393939393939,strict3x3,pn,CPP,1
0.57,0.9302325581395349,0.8939393939393939,strict3x3,pn,CPP,1
0.58,0.9186046511627907,0.8939393939393939,strict3x3,pn,CPP,1
0.59,0.9186046511627907,0.8939393939393939,strict3x3,pn,CPP,1
0.6,0.9186046511627907,0.8939393939393939,strict3x3,pn,CPP,1
