mode,quantity,quantity_label,threshold,unit_kind,unit,unit_label,n_stations,lead_days,n_matchups,n_events,n_non_events,event_rate,date_start,date_end,mean_model_prob,median_model_prob,calibration_gap,prob_sep_event_minus_nonevent,ks_D,ks_Dcrit,ks_p,ks_reject,auc,auc_se,auc_ci_low,auc_ci_high,auc_beats_random,auc_pr,auc_pr_baseline,auc_pr_lift,f1_max,f1_max_pp,mcc_max,mcc_max_pp,n_distinct_thresholds,opt_pp_far_pod,opt_val_far_pod,opt_pp_for_pod,opt_val_for_pod,opt_pp_miss_pod,opt_val_miss_pod,opt_pp_acc_pod,opt_val_acc_pod,max_accuracy,max_accuracy_pp,accuracy_faropt,POD_faropt,FAR_faropt,POFD_faropt,BS_faropt,miss_rate_faropt,FOR_faropt,precision_faropt,F1_faropt,MCC_faropt,accuracy_foropt,POD_foropt,FAR_foropt,POFD_foropt,BS_foropt,miss_rate_foropt,FOR_foropt,precision_foropt,F1_foropt,MCC_foropt,accuracy_missopt,POD_missopt,FAR_missopt,POFD_missopt,BS_missopt,miss_rate_missopt,FOR_missopt,precision_missopt,F1_missopt,MCC_missopt,accuracy_f1opt,POD_f1opt,FAR_f1opt,POFD_f1opt,BS_f1opt,miss_rate_f1opt,FOR_f1opt,precision_f1opt,F1_f1opt,MCC_f1opt,accuracy_mccopt,POD_mccopt,FAR_mccopt,POFD_mccopt,BS_mccopt,miss_rate_mccopt,FOR_mccopt,precision_mccopt,F1_mccopt,MCC_mccopt,accuracy_at50,POD_at50,FAR_at50,POFD_at50,BS_at50,miss_rate_at50,FOR_at50,precision_at50,F1_at50,MCC_at50,ccf_transform,arima_order,model_trend_r,model_trend_p,model_trend_sig,acf_first_insig_lag,acf_slope,acf_frac_sig,nonstationary_by_acf,adf_p,kpss_p,stationarity_verdict,acf_first_insig_lag_after,ccf_r_at_zero,ccf_peak_lag,ccf_peak_r,ccf_peak_meaning,ccf_n_sig_lags,skill_note
strict3x3,pn,Pseudo-nitzschia spp.,>= 10000 cells/L,station,CPP,Cal Poly Pier,1,0,160,71,89,0.4437,2022-11-01,2026-07-06,0.9273,0.9646,0.4836,-0.0444,0.66875,0.15205262246998572,3.038484229992848e-34,True,0.5097325526190852,0.04610125562029837,0.4193757519612257,0.6000893532769448,False,0.5000240619959505,0.44375,1.1268147875965082,0.6147186147186147,7.1976865e-13,0.18150590691750967,0.979774,161.0,0.9588577062411152,0.558948961342688,0.6736923076923077,0.9384615384615385,0.965,0.5,0.963448087431694,0.5153005464480874,0.59375,0.98,0.49375,0.5492957746478874,0.5568181818181818,0.550561797752809,1.2394366197183098,0.4507042253521127,0.4444444444444444,0.4431818181818182,0.490566037735849,-0.0012643235429927494,0.41875,0.9436619718309859,0.5705128205128205,1.0,2.1971830985915495,0.056338028169014086,1.0,0.42948717948717946,0.5903083700440528,-0.17928069431155982,0.49375,0.5492957746478874,0.5568181818181818,0.550561797752809,1.2394366197183098,0.4507042253521127,0.4444444444444444,0.4431818181818182,0.490566037735849,-0.0012643235429927494,0.44375,1.0,0.55625,1.0,2.2535211267605635,0.0,,0.44375,0.6147186147186147,0.0,0.59375,0.28169014084507044,0.4117647058823529,0.15730337078651685,0.4788732394366197,0.7183098591549296,0.40476190476190477,0.5882352941176471,0.380952380952381,0.15106840269777194,0.425,0.9577464788732394,0.5668789808917197,1.0,2.211267605633803,0.04225352112676056,1.0,0.43312101910828027,0.5964912280701755,-0.15476638199371584,none (stationary),,0.02519020392568184,0.41041667919076463,False,6.0,-0.0054486915418614935,0.5333333333333333,False,8.200761802060546e-07,0.1,stationary (both agree),6,0.02708307060990456,13.0,-0.2973062689457851,model lags obs by 13 d,2,
strict3x3,pn,Pseudo-nitzschia spp.,>= 10000 cells/L,station,CPP,Cal Poly Pier,1,1,152,66,86,0.4342,2022-11-08,2026-07-06,0.8766,0.9541,0.4424,-0.0542,0.625,0.15600269903198202,4.052461852282532e-28,True,0.41895701198026775,0.04630057767473744,0.32820954727438306,0.5097044766861524,False,0.40691326509134873,0.4342105263157895,0.9371335802103788,0.6082949308755761,0.20002633,0.07129092808290056,0.20002633,153.0,0.8893065241478199,0.6233135631884247,0.896657891437884,0.5909489783126489,0.9333333333333333,0.5,0.9520331950207468,0.4211618257261411,0.5657894736842105,1.0,0.3881578947368421,0.6212121212121212,0.6238532110091743,0.7906976744186046,1.6515151515151516,0.3787878787878788,0.5813953488372093,0.3761467889908257,0.4685714285714286,-0.18651183798997412,0.375,0.5757575757575758,0.638095238095238,0.7790697674418605,1.5909090909090908,0.42424242424242425,0.5957446808510638,0.3619047619047619,0.4444444444444445,-0.21804244179573878,0.40131578947368424,0.5151515151515151,0.6344086021505376,0.686046511627907,1.4090909090909092,0.48484848484848486,0.5423728813559322,0.3655913978494624,0.4276729559748428,-0.17381332227688845,0.4407894736842105,1.0,0.5629139072847682,0.9883720930232558,2.287878787878788,0.0,0.0,0.4370860927152318,0.6082949308755761,0.07129092808290056,0.4407894736842105,1.0,0.5629139072847682,0.9883720930232558,2.287878787878788,0.0,0.0,0.4370860927152318,0.6082949308755761,0.07129092808290056,0.4144736842105263,0.8939393939393939,0.5815602836879432,0.9534883720930233,2.1363636363636362,0.10606060606060606,0.6363636363636364,0.41843971631205673,0.5700483091787439,-0.11391728031473003,none (stationary),,0.04318476894291263,0.15517110496163491,False,6.0,-0.0038459494580943623,0.8333333333333334,False,6.634975014417624e-06,0.1,stationary (both agree),6,-0.15497395695842953,5.0,-0.27542756642402755,model lags obs by 5 d,3,
strict3x3,pn,Pseudo-nitzschia spp.,>= 10000 cells/L,station,CPP,Cal Poly Pier,1,2,159,73,86,0.4591,2022-11-08,2026-07-06,0.8626,0.9494,0.4035,-0.0694,0.6415094339622641,0.15253002591303605,4.286446701205957e-31,True,0.47419560369544445,0.045945710587609254,0.38414366569962966,0.5642475416912592,False,0.5045779753392975,0.4591194968553459,1.0990123024513465,0.6293103448275862,2.1536399e-10,0.1743620402444717,0.9984139,160.0,0.9271225311850312,0.5715956340956341,0.09273972602739726,0.9452054794520548,0.945,0.5,0.9485784313725489,0.49509803921568624,0.5534591194968553,0.99,0.44654088050314467,0.547945205479452,0.5789473684210527,0.6395348837209303,1.3013698630136987,0.4520547945205479,0.515625,0.42105263157894735,0.47619047619047616,-0.09306907539144645,0.4339622641509434,0.9452054794520548,0.5548387096774193,1.0,2.1232876712328768,0.0547945205479452,1.0,0.44516129032258067,0.605263157894737,-0.1743620402444717,0.44654088050314467,0.5068493150684932,0.5842696629213483,0.6046511627906976,1.2191780821917808,0.4931506849315068,0.5142857142857142,0.4157303370786517,0.45679012345679015,-0.0981778895363389,0.4591194968553459,1.0,0.5408805031446541,1.0,2.1780821917808217,0.0,,0.4591194968553459,0.6293103448275862,0.0,0.5408805031446541,0.0,,0.0,0.0,1.0,0.4591194968553459,,,0.0,0.4276729559748428,0.8904109589041096,0.5608108108108109,0.9651162790697675,2.0273972602739727,0.1095890410958904,0.7272727272727273,0.4391891891891892,0.5882352941176471,-0.1467016460268466,none (stationary),,-0.01723471658046831,0.5706544654813042,False,6.0,-0.0026396293568577904,0.7,False,3.571853069938868e-06,0.1,stationary (both agree),6,-0.08839025422593728,6.0,-0.24802248963723109,model lags obs by 6 d,4,
strict3x3,pn,Pseudo-nitzschia spp.,>= 10000 cells/L,station,CPP,Cal Poly Pier,1,3,138,58,80,0.4203,2022-11-08,2026-07-06,0.8593,0.9526,0.439,-0.0337,0.644927536231884,0.1637247601966461,2.4354260494009457e-27,True,0.5175646551724138,0.05001901106599219,0.4195291949407587,0.6156001154040689,False,0.4927396097310004,0.42028985507246375,1.1723804507392768,0.5918367346938775,0.010604139,0.19454097988290114,0.9785746,138.0,0.9123756906077348,0.599352257572871,0.0503448275862069,0.9827586206896551,0.95,0.5,0.9537179487179487,0.4935897435897436,0.6086956521739131,0.98,0.45652173913043476,0.603448275862069,0.5977011494252874,0.65,1.5,0.39655172413793105,0.45098039215686275,0.40229885057471265,0.4827586206896552,-0.047604723445698854,0.41304347826086957,0.9827586206896551,0.583941605839416,1.0,2.3620689655172415,0.017241379310344827,1.0,0.41605839416058393,0.5846153846153846,-0.10033921826170085,0.4855072463768116,0.5,0.5915492957746479,0.525,1.2241379310344827,0.5,0.43283582089552236,0.4084507042253521,0.4496124031007752,-0.024690644316304442,0.42028985507246375,1.0,0.5797101449275363,1.0,2.3793103448275863,0.0,,0.42028985507246375,0.5918367346938774,0.0,0.6086956521739131,0.29310344827586204,0.43333333333333335,0.1625,0.5172413793103449,0.7068965517241379,0.37962962962962965,0.5666666666666667,0.3863636363636363,0.15629357629901866,0.38405797101449274,0.8620689655172413,0.6062992125984252,0.9625,2.189655172413793,0.13793103448275862,0.7272727272727273,0.3937007874015748,0.5405405405405406,-0.1830327156430795,none (stationary),,-0.02870321033593703,0.3448786825299631,False,9.0,-0.0026460051288566305,0.7,False,2.5159472251378534e-06,0.1,stationary (both agree),9,0.04546319514799862,8.0,-0.27587735858670137,model lags obs by 8 d,4,
strict3x3,pn,Pseudo-nitzschia spp.,>= 10000 cells/L,station,SW,Stearns Wharf,1,0,152,34,118,0.2237,2022-11-03,2026-06-15,0.8999,0.9519,0.6762,-0.0008,0.625,0.15600269903198202,4.052461852282532e-28,True,0.4875373878364905,0.0560944327927047,0.3775943198295867,0.5974804558433943,False,0.2320973133046052,0.2236842105263158,1.0376115183029408,0.3728813559322034,0.6806021,0.08558765379874542,0.98751,153.0,0.8975276381909548,0.7792491871120307,0.9685323931247245,0.24041427941824592,0.955,0.5,0.9532067510548523,0.5210970464135021,0.7763157894736842,1.0,0.3355263157894737,0.7647058823529411,0.7815126050420168,0.788135593220339,3.5,0.23529411764705882,0.24242424242424243,0.2184873949579832,0.33986928104575165,-0.023681921695915167,0.5921052631578947,0.20588235294117646,0.8333333333333334,0.2966101694915254,1.2352941176470589,0.7941176470588235,0.24545454545454545,0.16666666666666666,0.18421052631578944,-0.08454733711393753,0.5,0.5588235294117647,0.7625,0.5169491525423728,2.3529411764705883,0.4411764705882353,0.20833333333333334,0.2375,0.3333333333333333,0.0349476178304606,0.26973684210526316,0.9705882352941176,0.7692307692307693,0.9322033898305084,4.205882352941177,0.029411764705882353,0.1111111111111111,0.23076923076923078,0.3728813559322034,0.06777210658923756,0.756578947368421,0.029411764705882353,0.8,0.03389830508474576,0.14705882352941177,0.9705882352941176,0.22448979591836735,0.2,0.05128205128205128,-0.010482101805357523,0.2565789473684211,0.9705882352941176,0.7724137931034483,0.9491525423728814,4.264705882352941,0.029411764705882353,0.14285714285714285,0.22758620689655173,0.36871508379888274,0.04261720542518636,"ARIMA(1, 1, 2) residuals","(1, 1, 2)",-0.10845447129385266,0.0003891793938810989,True,,-0.003010812276765414,1.0,True,0.35103104998773677,0.1,"conflicting: ADF unit root, KPSS stationary (weak evidence)",1,0.04137590662010145,10.0,-0.4606780243620132,model lags obs by 10 d,15,
strict3x3,pn,Pseudo-nitzschia spp.,>= 10000 cells/L,station,SW,Stearns Wharf,1,1,153,36,117,0.2353,2022-11-03,2026-06-15,0.8982,0.9457,0.6629,0.0267,0.5816993464052288,0.15549205052920803,2.674377674160599e-24,True,0.4921652421652422,0.05503818594006321,0.38429237994829957,0.6000381043821849,False,0.267974015562517,0.23529411764705882,1.1388895661406973,0.39779005524861877,0.6031244,0.14622441296640046,0.99905616,154.0,0.8926227344504938,0.7559216573569963,0.9684845463609172,0.2432701894317049,0.94,0.5,0.9449180327868852,0.48633879781420764,0.7647058823529411,1.0,0.39215686274509803,0.7777777777777778,0.7522123893805309,0.7264957264957265,3.138888888888889,0.2222222222222222,0.2,0.24778761061946902,0.3758389261744966,0.04950400689271839,0.6209150326797386,0.2222222222222222,0.7894736842105263,0.2564102564102564,1.0555555555555556,0.7777777777777778,0.24347826086956523,0.21052631578947367,0.21621621621621623,-0.03356429985803956,0.45098039215686275,0.5,0.7857142857142857,0.5641025641025641,2.3333333333333335,0.5,0.2608695652173913,0.21428571428571427,0.3,-0.05464562462349677,0.2875816993464052,1.0,0.7517241379310344,0.9316239316239316,4.027777777777778,0.0,0.0,0.2482758620689655,0.39779005524861877,0.13029246839689126,0.7647058823529411,0.0,,0.0,0.0,1.0,0.23529411764705882,,,0.0,0.27450980392156865,1.0,0.7551020408163265,0.9487179487179487,4.083333333333333,0.0,0.0,0.24489795918367346,0.39344262295081966,0.11206636293610515,"ARIMA(2, 1, 1) residuals","(2, 1, 1)",-0.13006129835418356,1.7276593605691964e-05,True,,-0.0038877625402245555,1.0,True,0.15421997024895656,0.1,"conflicting: ADF unit root, KPSS stationary (weak evidence)",1,0.09893353736583284,11.0,-0.3611297391635931,model lags obs by 11 d,11,
strict3x3,pn,Pseudo-nitzschia spp.,>= 10000 cells/L,station,SW,Stearns Wharf,1,2,157,39,118,0.2484,2022-11-03,2026-06-15,0.8819,0.9529,0.6335,-0.0216,0.5732484076433121,0.1534984802514033,3.60287950743317e-24,True,0.49565406345067364,0.05340901437411847,0.3909743188276194,0.6003338080737279,False,0.2577493280530476,0.2484076433121019,1.0376062693417558,0.40414507772020725,0.33147407,0.08024011950053307,0.33147407,158.0,0.9205851950955777,0.7375877426094606,0.9754849196744263,0.2489499537267744,0.9583333333333333,0.5,0.955013440860215,0.5255376344086021,0.7515923566878981,1.0,0.42038216560509556,0.7435897435897436,0.7363636363636363,0.6864406779661016,2.8205128205128207,0.2564102564102564,0.2127659574468085,0.2636363636363636,0.3892617449664429,0.05391842154243951,0.6496815286624203,0.1794871794871795,0.7666666666666667,0.19491525423728814,0.7692307692307693,0.8205128205128205,0.25196850393700787,0.23333333333333334,0.20289855072463772,-0.016955966650548653,0.5477707006369427,0.48717948717948717,0.7285714285714285,0.4322033898305085,1.794871794871795,0.5128205128205128,0.22988505747126436,0.2714285714285714,0.34862385321100914,0.04779016915156891,0.267515923566879,1.0,0.7467532467532467,0.9745762711864406,3.948717948717949,0.0,0.0,0.2532467532467532,0.4041450777202072,0.08024011950053307,0.267515923566879,1.0,0.7467532467532467,0.9745762711864406,3.948717948717949,0.0,0.0,0.2532467532467532,0.4041450777202072,0.08024011950053307,0.25477707006369427,0.8461538461538461,0.7708333333333334,0.940677966101695,3.6923076923076925,0.15384615384615385,0.46153846153846156,0.22916666666666666,0.360655737704918,-0.14820505865508926,linear detrend,,-0.1900656926690312,2.771755992029469e-10,True,21.0,-0.0036177450344948583,0.9666666666666667,False,0.2206464945328846,0.1,"conflicting: ADF unit root, KPSS stationary (weak evidence)",15,-0.04435339708321686,-20.0,-0.40233894975800333,model leads obs by 20 d,19,
strict3x3,pn,Pseudo-nitzschia spp.,>= 10000 cells/L,station,SW,Stearns Wharf,1,3,149,37,112,0.2483,2022-11-08,2026-06-08,0.8967,0.958,0.6483,0.0068,0.5771812080536913,0.1575653694108699,2.747104112762084e-23,True,0.5024131274131274,0.05496522771653656,0.394683260686673,0.6101429941395817,False,0.27652240313353255,0.2483221476510067,1.1135631909971986,0.40437158469945356,0.44238746,0.15167889975698212,0.99108666,150.0,0.9328070378516032,0.7339969903924065,0.9726697353279632,0.2612197928653625,0.955,0.5,0.9556776556776556,0.4908424908424909,0.7516778523489933,0.99,0.42953020134228187,0.7567567567567568,0.7307692307692307,0.6785714285714286,2.810810810810811,0.24324324324324326,0.2,0.2692307692307692,0.3971631205673759,0.07357194039054843,0.5570469798657718,0.2972972972972973,0.7843137254901961,0.35714285714285715,1.3783783783783783,0.7027027027027027,0.2653061224489796,0.21568627450980393,0.25000000000000006,-0.05449337188476702,0.48322147651006714,0.5675675675675675,0.7439024390243902,0.5446428571428571,2.2162162162162162,0.43243243243243246,0.23880597014925373,0.25609756097560976,0.3529411764705882,0.019909914928918984,0.2684563758389262,1.0,0.7465753424657534,0.9732142857142857,3.945945945945946,0.0,0.0,0.2534246575342466,0.4043715846994536,0.08239029354036383,0.7516778523489933,0.08108108108108109,0.5,0.026785714285714284,0.16216216216216217,0.918918918918919,0.23776223776223776,0.5,0.13953488372093023,0.1193243289874093,0.2751677852348993,0.972972972972973,0.7482517482517482,0.9553571428571429,3.864864864864865,0.02702702702702703,0.16666666666666666,0.2517482517482518,0.4,0.03871411562702613,linear detrend,,-0.18902151705057815,3.4801264376364474e-10,True,19.0,-0.004198214834569441,0.9666666666666667,False,1.477130153972173e-07,0.1,stationary (both agree),15,-0.08296601422911067,-19.0,-0.4149408859027147,model leads obs by 19 d,20,
strict3x3,pn,Pseudo-nitzschia spp.,>= 10000 cells/L,station,SMP,Santa Monica Pier,1,0,155,32,123,0.2065,2022-11-07,2026-07-06,0.8461,0.8965,0.6396,0.039,0.535483870967742,0.15448561891520163,1.0563069659819579e-20,True,0.592479674796748,0.05827776891180549,0.4782573466302612,0.7067020029632348,False,0.29507454320939686,0.2064516129032258,1.429267318670516,0.39603960396039606,0.91271925,0.2019722104636454,0.9575903,156.0,0.8334041385797146,0.7699482677535664,0.9694810783445134,0.19560815086697886,0.9333333333333333,0.5,0.914561403508772,0.5964912280701754,0.7935483870967742,0.99,0.41935483870967744,0.8125,0.7636363636363637,0.6829268292682927,3.4375,0.1875,0.13333333333333333,0.23636363636363636,0.36619718309859156,0.11554204016324533,0.7225806451612903,0.1875,0.7391304347826086,0.13821138211382114,0.71875,0.8125,0.19696969696969696,0.2608695652173913,0.21818181818181817,0.056120728693039794,0.6258064516129033,0.53125,0.7166666666666667,0.34959349593495936,1.875,0.46875,0.15789473684210525,0.2833333333333333,0.3695652173913043,0.15095276384823753,0.5935483870967742,0.625,0.7183098591549296,0.4146341463414634,2.21875,0.375,0.14285714285714285,0.28169014084507044,0.3883495145631068,0.1708968172252025,0.7290322580645161,0.34375,0.65625,0.17073170731707318,1.0,0.65625,0.17073170731707318,0.34375,0.34375,0.17301829268292682,0.25161290322580643,1.0,0.7837837837837838,0.943089430894309,4.625,0.0,0.0,0.21621621621621623,0.35555555555555557,0.11092785004111462,"ARIMA(2, 1, 2) residuals","(2, 1, 2)",-0.13485582579560143,9.493484827410539e-06,True,12.0,-0.00975885589764191,0.6333333333333333,False,0.0013831266674833066,0.031875864808847666,"conflicting: ADF stationary, KPSS non-stationary (possible trend-stationarity)",1,0.05597811979601907,20.0,-0.39326877393724335,model lags obs by 20 d,6,
strict3x3,pn,Pseudo-nitzschia spp.,>= 10000 cells/L,station,SMP,Santa Monica Pier,1,1,158,32,126,0.2025,2022-11-07,2026-07-06,0.8569,0.8965,0.6544,-0.0152,0.5316455696202531,0.15301195452593927,8.752995157364951e-21,True,0.5324900793650794,0.057906532206948566,0.4189953617698515,0.6459847969603073,False,0.23980642094997653,0.20253164556962025,1.1840442034405092,0.3516483516483517,0.9276004,0.19388001816102257,0.97383255,159.0,0.731366206321253,0.808230605246084,0.150625,0.96875,0.92,0.5,0.9011718750000001,0.53125,0.7974683544303798,1.0,0.2721518987341772,0.8125,0.8074074074074075,0.8650793650793651,4.21875,0.1875,0.2608695652173913,0.1925925925925926,0.311377245508982,-0.05991627383401864,0.1962025316455696,0.96875,0.802547770700637,1.0,4.90625,0.03125,1.0,0.19745222929936307,0.3280423280423281,-0.15836545656927495,0.6139240506329114,0.5,0.7377049180327869,0.35714285714285715,1.90625,0.5,0.16494845360824742,0.26229508196721313,0.3440860215053763,0.11792650759747766,0.6265822784810127,0.46875,0.7368421052631579,0.3333333333333333,1.78125,0.53125,0.16831683168316833,0.2631578947368421,0.33707865168539325,0.11332722806921405,0.740506329113924,0.28125,0.6666666666666666,0.14285714285714285,0.84375,0.71875,0.17557251908396945,0.3333333333333333,0.3050847457627119,0.1477598383497797,0.2088607594936709,0.96875,0.8,0.9841269841269841,4.84375,0.03125,0.3333333333333333,0.2,0.3315508021390375,-0.04527984706538385,linear detrend,,-0.12767606049610236,2.4648912098861173e-05,True,20.0,-0.008045463614086461,0.7666666666666667,False,0.000353458143419889,0.1,stationary (both agree),20,0.07409749118450193,21.0,-0.3328727478234414,model lags obs by 21 d,4,
