recall,precision,mode,quantity,unit,lead_days
1.0,0.44375,strict3x3,pn,CPP,0
0.9859154929577465,0.44025157232704404,strict3x3,pn,CPP,0
0.971830985915493,0.43670886075949367,strict3x3,pn,CPP,0
0.9577464788732394,0.43312101910828027,strict3x3,pn,CPP,0
0.9436619718309859,0.42948717948717946,strict3x3,pn,CPP,0
0.9295774647887324,0.4258064516129032,strict3x3,pn,CPP,0
0.9295774647887324,0.42857142857142855,strict3x3,pn,CPP,0
0.9295774647887324,0.43137254901960786,strict3x3,pn,CPP,0
0.9154929577464789,0.4276315789473684,strict3x3,pn,CPP,0
0.9014084507042254,0.423841059602649,strict3x3,pn,CPP,0
0.8873239436619719,0.42,strict3x3,pn,CPP,0
0.8873239436619719,0.4228187919463087,strict3x3,pn,CPP,0
0.8873239436619719,0.42567567567567566,strict3x3,pn,CPP,0
0.8873239436619719,0.42857142857142855,strict3x3,pn,CPP,0
0.8873239436619719,0.4315068493150685,strict3x3,pn,CPP,0
0.8732394366197183,0.42758620689655175,strict3x3,pn,CPP,0
0.8732394366197183,0.4305555555555556,strict3x3,pn,CPP,0
0.8591549295774648,0.42657342657342656,strict3x3,pn,CPP,0
0.8450704225352113,0.4225352112676056,strict3x3,pn,CPP,0
0.8309859154929577,0.41843971631205673,strict3x3,pn,CPP,0
0.8309859154929577,0.42142857142857143,strict3x3,pn,CPP,0
0.8169014084507042,0.4172661870503597,strict3x3,pn,CPP,0
0.8028169014084507,0.41304347826086957,strict3x3,pn,CPP,0
0.8028169014084507,0.41605839416058393,strict3x3,pn,CPP,0
0.7887323943661971,0.4117647058823529,strict3x3,pn,CPP,0
0.7746478873239436,0.4074074074074074,strict3x3,pn,CPP,0
0.7605633802816901,0.40298507462686567,strict3x3,pn,CPP,0
0.7605633802816901,0.40601503759398494,strict3x3,pn,CPP,0
0.7605633802816901,0.4090909090909091,strict3x3,pn,CPP,0
0.7605633802816901,0.4122137404580153,strict3x3,pn,CPP,0
0.7464788732394366,0.4076923076923077,strict3x3,pn,CPP,0
0.7464788732394366,0.4108527131782946,strict3x3,pn,CPP,0
0.7323943661971831,0.40625,strict3x3,pn,CPP,0
0.7323943661971831,0.4094488188976378,strict3x3,pn,CPP,0
0.7323943661971831,0.4126984126984127,strict3x3,pn,CPP,0
0.7323943661971831,0.416,strict3x3,pn,CPP,0
0.7323943661971831,0.41935483870967744,strict3x3,pn,CPP,0
0.7323943661971831,0.42276422764227645,strict3x3,pn,CPP,0
0.7183098591549296,0.4180327868852459,strict3x3,pn,CPP,0
0.704225352112676,0.4132231404958678,strict3x3,pn,CPP,0
0.704225352112676,0.4166666666666667,strict3x3,pn,CPP,0
0.704225352112676,0.42016806722689076,strict3x3,pn,CPP,0
0.704225352112676,0.423728813559322,strict3x3,pn,CPP,0
0.704225352112676,0.42735042735042733,strict3x3,pn,CPP,0
0.704225352112676,0.43103448275862066,strict3x3,pn,CPP,0
0.704225352112676,0.43478260869565216,strict3x3,pn,CPP,0
0.704225352112676,0.43859649122807015,strict3x3,pn,CPP,0
0.6901408450704225,0.4336283185840708,strict3x3,pn,CPP,0
0.676056338028169,0.42857142857142855,strict3x3,pn,CPP,0
0.676056338028169,0.43243243243243246,strict3x3,pn,CPP,0
0.676056338028169,0.43636363636363634,strict3x3,pn,CPP,0
0.6619718309859155,0.43119266055045874,strict3x3,pn,CPP,0
0.647887323943662,0.42592592592592593,strict3x3,pn,CPP,0
0.6338028169014085,0.4205607476635514,strict3x3,pn,CPP,0
0.6338028169014085,0.42452830188679247,strict3x3,pn,CPP,0
0.6338028169014085,0.42857142857142855,strict3x3,pn,CPP,0
0.6338028169014085,0.4326923076923077,strict3x3,pn,CPP,0
0.6338028169014085,0.4368932038834951,strict3x3,pn,CPP,0
0.6197183098591549,0.43137254901960786,strict3x3,pn,CPP,0
0.6056338028169014,0.42574257425742573,strict3x3,pn,CPP,0
0.5915492957746479,0.42,strict3x3,pn,CPP,0
0.5915492957746479,0.42424242424242425,strict3x3,pn,CPP,0
0.5774647887323944,0.41836734693877553,strict3x3,pn,CPP,0
0.5774647887323944,0.422680412371134,strict3x3,pn,CPP,0
0.5774647887323944,0.4270833333333333,strict3x3,pn,CPP,0
0.5774647887323944,0.43157894736842106,strict3x3,pn,CPP,0
0.5633802816901409,0.425531914893617,strict3x3,pn,CPP,0
0.5633802816901409,0.43010752688172044,strict3x3,pn,CPP,0
0.5492957746478874,0.42391304347826086,strict3x3,pn,CPP,0
0.5492957746478874,0.42857142857142855,strict3x3,pn,CPP,0
0.5492957746478874,0.43333333333333335,strict3x3,pn,CPP,0
0.5492957746478874,0.43820224719101125,strict3x3,pn,CPP,0
0.5492957746478874,0.4431818181818182,strict3x3,pn,CPP,0
0.5492957746478874,0.4482758620689655,strict3x3,pn,CPP,0
0.5492957746478874,0.45348837209302323,strict3x3,pn,CPP,0
0.5492957746478874,0.4588235294117647,strict3x3,pn,CPP,0
0.5492957746478874,0.4642857142857143,strict3x3,pn,CPP,0
0.5352112676056338,0.4578313253012048,strict3x3,pn,CPP,0
0.5352112676056338,0.4634146341463415,strict3x3,pn,CPP,0
0.5211267605633803,0.4567901234567901,strict3x3,pn,CPP,0
0.5070422535211268,0.45,strict3x3,pn,CPP,0
0.5070422535211268,0.45569620253164556,strict3x3,pn,CPP,0
0.5070422535211268,0.46153846153846156,strict3x3,pn,CPP,0
0.5070422535211268,0.4675324675324675,strict3x3,pn,CPP,0
0.5070422535211268,0.47368421052631576,strict3x3,pn,CPP,0
0.5070422535211268,0.48,strict3x3,pn,CPP,0
0.5070422535211268,0.4864864864864865,strict3x3,pn,CPP,0
0.5070422535211268,0.4931506849315068,strict3x3,pn,CPP,0
0.5070422535211268,0.5,strict3x3,pn,CPP,0
0.5070422535211268,0.5070422535211268,strict3x3,pn,CPP,0
0.5070422535211268,0.5142857142857142,strict3x3,pn,CPP,0
0.49295774647887325,0.5072463768115942,strict3x3,pn,CPP,0
0.49295774647887325,0.5147058823529411,strict3x3,pn,CPP,0
0.4788732394366197,0.5074626865671642,strict3x3,pn,CPP,0
0.4788732394366197,0.5151515151515151,strict3x3,pn,CPP,0
0.4647887323943662,0.5076923076923077,strict3x3,pn,CPP,0
0.4507042253521127,0.5,strict3x3,pn,CPP,0
0.4507042253521127,0.5079365079365079,strict3x3,pn,CPP,0
0.4507042253521127,0.5161290322580645,strict3x3,pn,CPP,0
0.43661971830985913,0.5081967213114754,strict3x3,pn,CPP,0
0.43661971830985913,0.5166666666666667,strict3x3,pn,CPP,0
0.43661971830985913,0.5254237288135594,strict3x3,pn,CPP,0
0.43661971830985913,0.5344827586206896,strict3x3,pn,CPP,0
0.4225352112676056,0.5263157894736842,strict3x3,pn,CPP,0
0.4084507042253521,0.5178571428571429,strict3x3,pn,CPP,0
0.39436619718309857,0.509090909090909,strict3x3,pn,CPP,0
0.38028169014084506,0.5,strict3x3,pn,CPP,0
