prediction_point,hits,false_alarms,misses,correct_negatives,total,accuracy,POD,FAR,POFD,BS,miss_rate,FOR,precision,recall,F1,MCC,mode,quantity,unit,lead_days
0.0,71,89,0,0,160,0.44375,1.0,0.55625,1.0,2.2535211267605635,0.0,,0.44375,1.0,0.6147186147186147,0.0,strict3x3,pn,CPP,0
0.01,69,89,2,0,160,0.43125,0.971830985915493,0.5632911392405063,1.0,2.2253521126760565,0.028169014084507043,1.0,0.43670886075949367,0.971830985915493,0.6026200873362445,-0.12596569388108747,strict3x3,pn,CPP,0
0.02,69,89,2,0,160,0.43125,0.971830985915493,0.5632911392405063,1.0,2.2253521126760565,0.028169014084507043,1.0,0.43670886075949367,0.971830985915493,0.6026200873362445,-0.12596569388108747,strict3x3,pn,CPP,0
0.03,69,89,2,0,160,0.43125,0.971830985915493,0.5632911392405063,1.0,2.2253521126760565,0.028169014084507043,1.0,0.43670886075949367,0.971830985915493,0.6026200873362445,-0.12596569388108747,strict3x3,pn,CPP,0
0.04,69,89,2,0,160,0.43125,0.971830985915493,0.5632911392405063,1.0,2.2253521126760565,0.028169014084507043,1.0,0.43670886075949367,0.971830985915493,0.6026200873362445,-0.12596569388108747,strict3x3,pn,CPP,0
0.05,69,89,2,0,160,0.43125,0.971830985915493,0.5632911392405063,1.0,2.2253521126760565,0.028169014084507043,1.0,0.43670886075949367,0.971830985915493,0.6026200873362445,-0.12596569388108747,strict3x3,pn,CPP,0
0.06,69,89,2,0,160,0.43125,0.971830985915493,0.5632911392405063,1.0,2.2253521126760565,0.028169014084507043,1.0,0.43670886075949367,0.971830985915493,0.6026200873362445,-0.12596569388108747,strict3x3,pn,CPP,0
0.07,69,89,2,0,160,0.43125,0.971830985915493,0.5632911392405063,1.0,2.2253521126760565,0.028169014084507043,1.0,0.43670886075949367,0.971830985915493,0.6026200873362445,-0.12596569388108747,strict3x3,pn,CPP,0
0.08,69,89,2,0,160,0.43125,0.971830985915493,0.5632911392405063,1.0,2.2253521126760565,0.028169014084507043,1.0,0.43670886075949367,0.971830985915493,0.6026200873362445,-0.12596569388108747,strict3x3,pn,CPP,0
0.09,69,89,2,0,160,0.43125,0.971830985915493,0.5632911392405063,1.0,2.2253521126760565,0.028169014084507043,1.0,0.43670886075949367,0.971830985915493,0.6026200873362445,-0.12596569388108747,strict3x3,pn,CPP,0
0.1,69,89,2,0,160,0.43125,0.971830985915493,0.5632911392405063,1.0,2.2253521126760565,0.028169014084507043,1.0,0.43670886075949367,0.971830985915493,0.6026200873362445,-0.12596569388108747,strict3x3,pn,CPP,0
0.11,69,89,2,0,160,0.43125,0.971830985915493,0.5632911392405063,1.0,2.2253521126760565,0.028169014084507043,1.0,0.43670886075949367,0.971830985915493,0.6026200873362445,-0.12596569388108747,strict3x3,pn,CPP,0
0.12,69,89,2,0,160,0.43125,0.971830985915493,0.5632911392405063,1.0,2.2253521126760565,0.028169014084507043,1.0,0.43670886075949367,0.971830985915493,0.6026200873362445,-0.12596569388108747,strict3x3,pn,CPP,0
0.13,69,89,2,0,160,0.43125,0.971830985915493,0.5632911392405063,1.0,2.2253521126760565,0.028169014084507043,1.0,0.43670886075949367,0.971830985915493,0.6026200873362445,-0.12596569388108747,strict3x3,pn,CPP,0
0.14,69,89,2,0,160,0.43125,0.971830985915493,0.5632911392405063,1.0,2.2253521126760565,0.028169014084507043,1.0,0.43670886075949367,0.971830985915493,0.6026200873362445,-0.12596569388108747,strict3x3,pn,CPP,0
0.15,69,89,2,0,160,0.43125,0.971830985915493,0.5632911392405063,1.0,2.2253521126760565,0.028169014084507043,1.0,0.43670886075949367,0.971830985915493,0.6026200873362445,-0.12596569388108747,strict3x3,pn,CPP,0
0.16,69,89,2,0,160,0.43125,0.971830985915493,0.5632911392405063,1.0,2.2253521126760565,0.028169014084507043,1.0,0.43670886075949367,0.971830985915493,0.6026200873362445,-0.12596569388108747,strict3x3,pn,CPP,0
0.17,69,89,2,0,160,0.43125,0.971830985915493,0.5632911392405063,1.0,2.2253521126760565,0.028169014084507043,1.0,0.43670886075949367,0.971830985915493,0.6026200873362445,-0.12596569388108747,strict3x3,pn,CPP,0
0.18,69,89,2,0,160,0.43125,0.971830985915493,0.5632911392405063,1.0,2.2253521126760565,0.028169014084507043,1.0,0.43670886075949367,0.971830985915493,0.6026200873362445,-0.12596569388108747,strict3x3,pn,CPP,0
0.19,69,89,2,0,160,0.43125,0.971830985915493,0.5632911392405063,1.0,2.2253521126760565,0.028169014084507043,1.0,0.43670886075949367,0.971830985915493,0.6026200873362445,-0.12596569388108747,strict3x3,pn,CPP,0
0.2,69,89,2,0,160,0.43125,0.971830985915493,0.5632911392405063,1.0,2.2253521126760565,0.028169014084507043,1.0,0.43670886075949367,0.971830985915493,0.6026200873362445,-0.12596569388108747,strict3x3,pn,CPP,0
0.21,68,89,3,0,160,0.425,0.9577464788732394,0.5668789808917197,1.0,2.211267605633803,0.04225352112676056,1.0,0.43312101910828027,0.9577464788732394,0.5964912280701755,-0.15476638199371584,strict3x3,pn,CPP,0
0.22,68,89,3,0,160,0.425,0.9577464788732394,0.5668789808917197,1.0,2.211267605633803,0.04225352112676056,1.0,0.43312101910828027,0.9577464788732394,0.5964912280701755,-0.15476638199371584,strict3x3,pn,CPP,0
0.23,68,89,3,0,160,0.425,0.9577464788732394,0.5668789808917197,1.0,2.211267605633803,0.04225352112676056,1.0,0.43312101910828027,0.9577464788732394,0.5964912280701755,-0.15476638199371584,strict3x3,pn,CPP,0
0.24,68,89,3,0,160,0.425,0.9577464788732394,0.5668789808917197,1.0,2.211267605633803,0.04225352112676056,1.0,0.43312101910828027,0.9577464788732394,0.5964912280701755,-0.15476638199371584,strict3x3,pn,CPP,0
0.25,68,89,3,0,160,0.425,0.9577464788732394,0.5668789808917197,1.0,2.211267605633803,0.04225352112676056,1.0,0.43312101910828027,0.9577464788732394,0.5964912280701755,-0.15476638199371584,strict3x3,pn,CPP,0
0.26,68,89,3,0,160,0.425,0.9577464788732394,0.5668789808917197,1.0,2.211267605633803,0.04225352112676056,1.0,0.43312101910828027,0.9577464788732394,0.5964912280701755,-0.15476638199371584,strict3x3,pn,CPP,0
0.27,68,89,3,0,160,0.425,0.9577464788732394,0.5668789808917197,1.0,2.211267605633803,0.04225352112676056,1.0,0.43312101910828027,0.9577464788732394,0.5964912280701755,-0.15476638199371584,strict3x3,pn,CPP,0
0.28,68,89,3,0,160,0.425,0.9577464788732394,0.5668789808917197,1.0,2.211267605633803,0.04225352112676056,1.0,0.43312101910828027,0.9577464788732394,0.5964912280701755,-0.15476638199371584,strict3x3,pn,CPP,0
0.29,68,89,3,0,160,0.425,0.9577464788732394,0.5668789808917197,1.0,2.211267605633803,0.04225352112676056,1.0,0.43312101910828027,0.9577464788732394,0.5964912280701755,-0.15476638199371584,strict3x3,pn,CPP,0
0.3,68,89,3,0,160,0.425,0.9577464788732394,0.5668789808917197,1.0,2.211267605633803,0.04225352112676056,1.0,0.43312101910828027,0.9577464788732394,0.5964912280701755,-0.15476638199371584,strict3x3,pn,CPP,0
0.31,68,89,3,0,160,0.425,0.9577464788732394,0.5668789808917197,1.0,2.211267605633803,0.04225352112676056,1.0,0.43312101910828027,0.9577464788732394,0.5964912280701755,-0.15476638199371584,strict3x3,pn,CPP,0
